area_id,population,location_urban,location_rural,hh_size1,hh_size2,hh_size3,hh_size4,m_0_to_30,f_0_to_30,m_30_to_60,f_30_to_60,m_gt_60,f_gt_60,edu_non,edu_low,edu_middle,edu_high
d0,270,0,270,77,192,0,5,13,15,160,161,60,57,35,176,232,23
d1,263,0,263,71,173,7,54,13,11,162,170,73,63,53,281,149,9
d2,303,303,0,131,163,0,38,25,26,170,164,56,54,66,183,231,15
d3,265,0,265,69,189,0,32,4,12,163,150,68,82,58,277,136,8
d4,283,283,0,121,136,8,83,85,98,134,135,28,20,33,84,298,85
d5,273,0,273,57,208,5,12,12,4,189,141,76,78,54,283,153,10
d6,300,0,300,78,218,1,17,15,19,176,181,83,60,32,215,264,23
d7,312,312,0,147,161,0,18,30,28,165,155,53,56,61,189,216,21
d8,291,291,0,100,169,10,55,73,67,167,168,26,22,37,141,297,48
d9,265,0,265,66,192,4,16,15,10,136,147,84,86,46,250,174,8
d10,304,304,0,107,174,10,58,69,83,186,155,27,23,31,128,335,49
d11,283,283,0,100,163,8,55,53,69,167,168,26,22,32,122,287,64
d12,278,0,278,91,179,4,16,12,10,153,152,70,80,55,252,162,8
d13,274,274,0,115,136,10,59,67,67,163,137,25,17,28,99,299,50
d14,275,0,275,77,191,4,14,14,4,156,154,76,81,57,251,168,9
d15,259,259,0,77,152,16,65,71,53,165,157,25,23,29,103,310,52
d16,262,262,0,81,154,12,68,60,64,156,167,25,21,20,117,308,48
d17,267,267,0,108,124,12,103,97,65,152,139,20,22,35,83,309,68
d18,301,0,301,86,204,6,21,19,8,169,176,74,87,71,274,172,16
d19,310,310,0,133,170,2,22,37,34,175,163,48,44,61,197,226,17
d20,294,294,0,99,179,5,48,52,82,173,156,28,29,39,121,313,47
d21,279,279,0,91,170,7,50,56,80,152,171,27,16,45,111,295,51
d22,307,307,0,124,173,3,32,31,35,176,146,57,66,77,202,218,14
d23,298,0,298,107,175,9,30,8,10,145,132,116,103,69,267,177,1
d24,289,0,289,77,208,1,13,17,12,163,180,58,79,51,203,234,21
d25,295,295,0,96,170,13,75,64,74,190,174,17,31,34,115,342,59
d26,277,0,277,68,199,3,33,13,10,152,180,70,83,53,272,176,7
d27,211,211,0,43,92,29,220,134,123,110,115,27,25,5,64,395,70
d28,289,289,0,105,158,11,67,70,66,188,152,21,24,33,118,315,55
d29,265,265,0,89,155,9,52,66,75,148,146,21,22,30,127,266,55
d30,277,277,0,104,154,5,64,68,60,164,153,20,26,48,112,284,47
d31,302,0,302,92,208,0,8,12,13,171,179,68,73,33,209,244,30
d32,297,0,297,121,173,1,10,8,9,106,108,141,108,33,172,249,26
d33,258,0,258,67,189,1,5,26,6,161,155,50,55,39,163,222,29
d34,304,304,0,111,170,10,55,58,72,161,187,31,27,31,133,326,46
d35,247,247,0,78,144,5,94,53,55,147,166,22,32,35,108,285,47
d36,288,288,0,133,122,13,90,92,75,148,147,24,20,35,82,317,72
d37,267,267,0,95,154,8,45,63,65,133,158,24,29,38,94,307,33
d38,247,247,0,94,126,11,73,90,65,134,132,16,15,27,62,292,71
d39,304,304,0,141,153,5,24,36,30,154,176,42,48,70,194,205,17
d40,264,264,0,86,152,12,63,72,75,137,154,19,32,29,120,294,46
d41,201,201,0,36,91,33,182,114,125,97,104,36,23,14,56,349,80
d42,210,210,0,48,88,33,186,116,135,105,93,23,37,4,55,372,78
d43,193,193,0,34,93,25,184,106,115,95,109,27,27,8,53,332,86
d44,274,274,0,97,156,8,59,55,72,167,158,15,25,34,101,304,53
d45,265,265,0,102,131,15,75,79,75,124,161,13,32,27,76,308,73
d46,299,0,299,84,209,1,21,9,10,149,175,90,93,58,297,164,7
d47,280,280,0,96,167,4,54,53,68,150,182,19,24,42,118,290,46
d48,254,0,254,63,181,1,43,14,17,149,139,77,75,58,243,160,10
d49,265,265,0,93,158,7,31,48,59,156,158,24,16,33,92,292,44
d50,285,285,0,108,158,6,56,52,75,151,164,24,32,47,114,293,44
d51,279,279,0,90,166,6,79,75,68,178,154,25,19,28,111,322,58
d52,274,0,274,82,185,2,21,13,13,153,173,68,59,34,188,243,14
d53,276,0,276,75,192,4,23,14,12,151,159,79,79,61,251,169,13
d54,319,0,319,138,180,1,0,5,7,121,135,114,119,43,181,242,35
d55,299,0,299,94,200,3,8,10,6,171,179,65,80,41,185,261,24
d56,339,339,0,167,170,2,0,39,33,167,159,60,55,80,206,215,12
d57,321,321,0,144,172,1,19,28,35,178,178,44,47,71,200,224,15
d58,308,0,308,147,155,3,15,8,11,124,100,127,111,32,177,242,30
d59,291,291,0,128,151,2,43,19,30,169,170,46,45,69,196,200,14
d60,298,298,0,122,174,0,9,31,26,135,183,49,55,63,203,193,20
d61,229,229,0,50,110,30,174,128,129,99,118,33,27,5,59,394,76
d62,264,0,264,67,186,3,35,12,8,154,170,70,69,56,259,161,7
d63,323,0,323,153,166,2,8,12,10,130,115,107,125,35,179,256,29
d64,268,268,0,96,146,12,58,76,56,140,148,28,34,37,123,281,41
d65,255,255,0,95,124,16,90,76,81,138,147,18,21,29,66,314,72
d66,252,252,0,83,150,7,56,71,65,151,133,20,20,28,112,266,54
d67,269,269,0,93,160,7,42,63,59,154,160,21,19,29,102,293,52
d68,282,0,282,86,192,1,12,15,18,168,173,56,55,38,201,226,20
d69,253,0,253,64,180,4,27,8,10,153,146,72,74,65,218,167,13
d70,297,0,297,94,191,8,20,9,6,133,148,115,109,56,289,171,4
d71,268,268,0,93,150,14,47,67,65,152,145,22,31,33,108,295,46
d72,287,0,287,93,191,0,12,12,10,183,156,68,58,35,193,232,27
d73,266,0,266,56,201,3,27,8,15,159,152,68,92,55,263,154,22
d74,284,284,0,106,157,9,55,69,66,152,154,34,27,34,142,278,48
d75,293,293,0,103,165,9,76,66,89,171,163,21,26,38,116,328,54
d76,263,263,0,84,158,8,58,73,49,142,169,30,19,38,111,285,48
d77,313,313,0,120,183,4,27,33,36,168,179,62,47,69,203,236,17
d78,286,0,286,72,201,7,30,15,18,170,156,71,95,65,295,157,8
d79,265,265,0,108,130,10,72,77,69,144,129,24,27,29,77,298,66
d80,243,243,0,91,120,7,111,79,72,129,144,13,26,38,80,280,65
d81,313,0,313,139,170,0,18,9,10,124,113,117,124,39,193,238,27
d82,284,284,0,122,130,12,85,91,91,135,146,17,23,29,84,309,81
d83,282,0,282,74,203,2,13,11,11,178,167,70,62,46,207,217,29
d84,273,0,273,97,161,4,47,4,9,135,126,101,103,51,273,151,3
d85,303,0,303,83,219,1,0,17,14,187,173,76,57,54,206,244,20
d86,278,278,0,107,134,13,106,87,98,136,154,31,14,34,87,323,76
d87,240,240,0,77,128,17,80,87,75,148,118,18,18,28,70,295,71
d88,283,0,283,113,164,2,17,7,10,125,108,107,107,43,171,218,32
d89,258,258,0,89,137,13,82,74,70,154,142,21,23,31,100,299,54
d90,281,0,281,82,195,1,14,23,13,171,144,61,77,35,205,228,21
d91,268,268,0,97,150,9,58,65,74,150,146,25,22,41,122,272,47
d92,327,327,0,149,170,4,20,38,23,169,177,50,64,60,216,233,12
d93,284,0,284,70,205,4,21,8,6,157,185,89,68,76,261,163,13
d94,210,210,0,43,100,34,142,111,120,100,95,28,33,11,47,356,73
d95,273,273,0,95,159,9,45,55,62,150,157,25,36,45,106,296,38
d96,273,273,0,92,155,12,62,61,67,160,164,28,20,33,117,299,51
d97,216,216,0,43,109,32,142,120,110,105,107,27,30,5,55,358,81
d98,204,204,0,39,93,34,171,127,106,107,98,29,31,10,63,353,72
d99,287,0,287,96,176,6,40,12,9,149,130,98,108,69,274,163,0
d100,276,276,0,91,161,9,66,56,83,162,164,22,19,35,121,286,64
d101,257,257,0,86,149,10,54,64,54,164,151,17,18,40,105,281,42
d102,287,0,287,79,199,2,31,9,14,156,165,88,82,54,280,167,13
d103,281,0,281,114,163,1,12,5,5,108,105,113,119,40,163,223,29
d104,283,0,283,80,202,1,0,16,9,175,170,58,59,46,178,234,29
d105,336,0,336,148,188,0,0,4,7,131,117,129,136,44,205,253,22
d106,265,265,0,88,151,9,79,64,51,175,146,27,33,31,115,285,65
d107,276,0,276,63,206,3,18,17,17,175,153,75,65,82,265,144,11
d108,262,0,262,64,185,3,42,4,10,154,170,79,68,57,254,162,12
d109,219,219,0,48,101,36,149,128,106,109,102,29,33,10,53,356,88
d110,296,0,296,85,206,3,8,13,20,168,181,55,77,36,210,240,28
d111,295,0,295,111,179,1,19,7,3,121,104,146,110,32,203,232,24
d112,291,0,291,84,192,4,47,6,12,138,139,113,119,65,298,161,3
d113,305,305,0,137,166,2,0,20,20,167,171,48,49,71,186,201,17
d114,283,0,283,82,193,1,34,12,6,166,166,85,70,41,292,162,10
d115,193,193,0,38,70,34,226,127,128,104,97,30,20,8,52,369,77
d116,282,0,282,84,188,5,21,12,11,177,162,76,58,30,214,233,19
d117,284,284,0,106,152,13,58,89,85,157,140,21,15,27,103,306,71
d118,280,0,280,84,185,4,32,12,11,157,147,78,93,45,254,185,14
d119,266,266,0,89,151,9,79,58,65,162,168,22,22,37,99,309,52
d120,299,0,299,104,180,5,43,13,13,132,134,115,115,68,296,158,0
d121,273,0,273,82,176,5,43,7,6,142,143,100,94,49,273,169,1
d122,267,0,267,70,190,1,29,17,21,183,147,49,65,50,185,222,25
d123,284,0,284,76,201,3,17,9,11,155,168,91,70,65,267,163,9
d124,273,273,0,101,127,21,104,92,110,134,145,19,22,25,87,325,85
d125,283,0,283,76,202,2,16,15,15,167,166,74,65,49,172,259,22
d126,277,277,0,101,158,6,51,56,66,173,152,17,22,26,117,291,52
d127,276,276,0,113,126,18,85,85,90,139,148,19,23,32,86,308,78
d128,266,266,0,88,159,7,54,64,74,149,151,23,20,43,102,294,42
d129,265,0,265,77,182,3,14,11,14,157,153,63,66,24,189,221,30
d130,273,0,273,64,204,2,13,11,11,174,150,75,70,46,302,131,12
d131,310,310,0,134,168,2,28,31,32,162,185,53,41,80,196,210,18
d132,279,0,279,76,192,7,18,13,5,169,161,86,65,55,272,161,11
d133,271,271,0,100,134,17,90,95,93,139,151,12,19,25,92,322,70
d134,213,213,0,53,99,24,169,117,108,107,95,31,34,13,57,352,70
d135,267,267,0,108,130,10,82,71,89,128,147,22,23,37,69,299,75
