area_id,population,location_urban,location_rural,hh_size1,hh_size2,hh_size3,hh_size4,m_0_to_29,f_0_to_29,m_30_to_59,f_30_to_59,m_gt_60,f_gt_60,edu_non,edu_low,edu_middle,edu_high
d1,267,0,267,59,176,21,51,36,21,152,155,72,89,64,260,156,14
d2,290,0,290,68,182,26,66,31,38,167,192,62,86,64,302,153,19
d3,297,297,0,84,193,11,40,18,35,171,198,68,53,26,203,270,21
d4,264,0,264,54,181,19,48,38,27,164,160,65,67,42,254,169,15
d5,281,0,281,63,180,24,63,29,24,176,179,69,81,68,285,161,7
d6,272,272,0,79,171,11,48,34,31,152,141,69,75,37,197,209,22
d7,271,0,271,62,181,19,39,22,16,174,166,57,85,57,273,158,7
d8,272,272,0,92,130,19,139,94,76,145,173,33,27,40,110,311,44
d9,292,292,0,86,179,14,56,32,25,172,181,67,65,30,230,232,22
d10,296,296,0,89,175,21,47,35,24,184,174,70,62,35,201,251,25
d11,283,0,283,67,188,16,54,22,25,148,189,77,84,64,278,162,11
d12,258,0,258,61,162,24,47,22,32,153,155,69,73,42,246,174,8
d13,269,0,269,71,158,29,47,36,22,166,149,80,68,52,254,166,11
d14,280,280,0,88,146,20,109,112,91,149,145,26,26,31,111,308,46
d15,276,0,276,69,177,20,45,26,26,169,157,76,74,60,274,163,9
d16,295,0,295,76,187,19,54,29,30,170,161,81,90,55,281,176,11
d17,285,0,285,59,195,15,69,35,22,181,163,79,83,52,293,176,7
d18,277,0,277,61,186,17,58,32,27,144,183,89,67,49,274,177,7
d19,270,0,270,69,171,14,69,30,31,163,146,76,76,56,267,150,14
d20,279,0,279,75,180,15,36,17,27,159,151,81,81,51,274,160,8
d21,253,0,253,60,162,19,53,27,28,140,148,78,73,53,245,155,10
d22,279,279,0,76,172,20,47,32,29,172,160,71,63,32,208,232,22
d23,274,0,274,58,188,16,51,22,26,161,171,81,72,55,291,155,7
d24,268,0,268,65,171,17,66,27,27,161,154,88,67,62,265,153,10
d25,273,273,0,79,142,31,91,93,107,147,150,25,25,39,102,306,50
d26,268,0,268,73,166,22,32,19,32,168,144,71,69,74,239,153,8
d27,282,282,0,76,182,21,13,21,31,172,173,59,60,46,193,231,19
d28,281,281,0,95,147,20,84,82,75,180,156,21,19,35,120,273,64
d29,266,0,266,55,170,29,54,29,22,154,177,87,67,63,270,159,10
d30,301,0,301,84,187,20,47,26,23,156,171,105,84,74,295,154,8
d31,289,0,289,68,187,25,39,30,24,155,181,82,84,62,288,164,11
