area,admin_area,id,demographic_id,age,education,gender,ethnicity,family_ratio,income,in_household,household_id,relationship
d1,a0,d1_282,affluent_professional,70,7,0,0,0.6,50854,True,d1_hh0,head
d1,a0,d1_384,farmer_agricultural,55,1,0,0,0.75,38467,True,d1_hh0,partner
d1,a0,d1_97,retired,73,5,1,0,0.3,-3666,True,d1_hh1,head
d1,a0,d1_174,retired,82,2,0,0,0.3,36038,True,d1_hh1,partner
d1,a0,d1_120,farmer_agricultural,50,2,1,0,0.75,42997,True,d1_hh2,head
d1,a0,d1_61,working_class,60,3,1,0,0.65,38286,True,d1_hh2,partner
d1,a0,d1_327,middle_class,29,4,1,0,0.7,46826,True,d1_hh3,head
d1,a0,d1_288,working_class,40,3,0,0,0.65,15262,True,d1_hh3,partner
d1,a0,d1_298,retired,69,4,1,0,0.3,15239,True,d1_hh4,head
d1,a0,d1_209,farmer_agricultural,68,0,1,0,0.75,-8191,True,d1_hh4,partner
d1,a0,d1_195,rural_worker,67,0,1,0,0.7,16137,True,d1_hh5,head
d1,a0,d1_276,farmer_agricultural,66,0,0,0,0.75,33939,True,d1_hh5,partner
d1,a0,d1_243,working_class,35,3,0,0,0.65,26466,True,d1_hh6,head
d1,a0,d1_370,retired,83,2,0,0,0.3,10477,True,d1_hh6,partner
d1,a0,d1_262,rural_worker,46,1,1,0,0.7,14423,True,d1_hh7,head
d1,a0,d1_354,rural_worker,40,2,0,0,0.7,17489,True,d1_hh7,partner
d1,a0,d1_313,retired,78,3,1,3,0.3,30863,True,d1_hh7,partner
d1,a0,d1_264,middle_class,50,5,0,0,0.7,16559,True,d1_hh8,head
d1,a0,d1_260,retired,71,2,1,0,0.3,39975,True,d1_hh9,head
d1,a0,d1_414,affluent_professional,57,5,0,0,0.6,85897,True,d1_hh9,partner
d1,a0,d1_15,farmer_agricultural,54,2,0,0,0.75,31353,True,d1_hh10,head
d1,a0,d1_285,working_class,48,2,1,0,0.65,29399,True,d1_hh10,partner
d1,a0,d1_19,working_class,64,1,0,0,0.65,33746,True,d1_hh11,head
d1,a0,d1_310,farmer_agricultural,52,2,1,0,0.75,45479,True,d1_hh11,partner
d1,a0,d1_241,rural_worker,29,1,1,0,0.7,32228,True,d1_hh12,head
d1,a0,d1_135,rural_worker,43,1,0,3,0.7,27806,True,d1_hh12,partner
d1,a0,d1_156,affluent_professional,51,5,0,1,0.6,71954,True,d1_hh13,head
d1,a0,d1_131,farmer_agricultural,57,2,1,0,0.75,30073,True,d1_hh13,partner
d1,a0,d1_463,retired,66,5,1,0,0.3,16574,True,d1_hh14,head
d1,a0,d1_134,working_class,57,2,1,0,0.65,30169,True,d1_hh14,partner
d1,a0,d1_20,rural_worker,27,1,1,0,0.7,23139,True,d1_hh15,head
d1,a0,d1_104,retired,85,3,1,0,0.3,30279,True,d1_hh16,head
d1,a0,d1_89,retired,74,2,0,0,0.3,22000,True,d1_hh16,partner
d1,a0,d1_72,working_class,53,4,0,0,0.65,24763,True,d1_hh17,head
d1,a0,d1_365,retired,81,5,1,0,0.3,26945,True,d1_hh17,partner
d1,a0,d1_115,working_class,25,1,1,0,0.65,30727,True,d1_hh18,head
d1,a0,d1_54,working_class,71,1,0,0,0.65,32707,True,d1_hh18,partner
d1,a0,d1_404,rural_worker,43,1,1,0,0.7,3438,True,d1_hh19,head
d1,a0,d1_462,retired,63,3,1,0,0.3,12841,True,d1_hh20,head
d1,a0,d1_150,working_class,46,2,1,0,0.65,41608,True,d1_hh20,partner
d1,a0,d1_51,rural_worker,40,1,1,0,0.7,34375,True,d1_hh21,head
d1,a0,d1_317,middle_class,49,5,0,0,0.7,24050,True,d1_hh22,head
d1,a0,d1_290,retired,74,1,1,0,0.3,29242,True,d1_hh22,partner
d1,a0,d1_151,rural_worker,68,1,1,0,0.7,23121,True,d1_hh23,head
d1,a0,d1_399,farmer_agricultural,40,3,0,0,0.75,12125,True,d1_hh23,partner
d1,a0,d1_34,farmer_agricultural,47,2,1,0,0.75,13995,True,d1_hh24,head
d1,a0,d1_126,working_class,65,1,0,0,0.65,26863,True,d1_hh24,partner
d1,a0,d1_281,retired,71,2,0,0,0.3,25654,True,d1_hh25,head
d1,a0,d1_163,middle_class,51,6,1,0,0.7,42398,True,d1_hh25,partner
d1,a0,d1_448,retired,90,3,0,0,0.3,14677,True,d1_hh25,partner
d1,a0,d1_351,retired,91,0,1,0,0.3,36720,True,d1_hh25,partner
d1,a0,d1_175,retired,68,4,0,0,0.3,23314,True,d1_hh26,head
d1,a0,d1_136,retired,56,0,1,0,0.3,7178,True,d1_hh27,head
d1,a0,d1_213,working_class,53,0,0,0,0.65,31593,True,d1_hh27,partner
d1,a0,d1_103,working_class,67,3,1,0,0.65,29512,True,d1_hh28,head
d1,a0,d1_320,farmer_agricultural,71,2,1,0,0.75,12964,True,d1_hh28,partner
d1,a0,d1_438,middle_class,63,4,1,0,0.7,42512,True,d1_hh29,head
d1,a0,d1_287,retired,60,2,1,0,0.3,22839,True,d1_hh29,partner
d1,a0,d1_368,rural_worker,33,2,0,0,0.7,12509,True,d1_hh30,head
d1,a0,d1_479,working_class,34,3,0,0,0.65,20682,True,d1_hh30,partner
d1,a0,d1_32,rural_worker,31,1,0,0,0.7,24798,True,d1_hh31,head
d1,a0,d1_160,farmer_agricultural,54,3,0,0,0.75,29372,True,d1_hh31,partner
d1,a0,d1_226,middle_class,48,4,1,0,0.7,47801,True,d1_hh32,head
d1,a0,d1_4,rural_worker,46,2,1,0,0.7,25272,True,d1_hh32,partner
d1,a0,d1_364,retired,78,3,1,0,0.3,15439,True,d1_hh33,head
d1,a0,d1_386,working_class,21,0,0,0,0.65,16503,True,d1_hh34,head
d1,a0,d1_153,working_class,47,2,1,0,0.65,19333,True,d1_hh34,partner
d1,a0,d1_451,farmer_agricultural,74,2,1,0,0.75,22356,True,d1_hh35,head
d1,a0,d1_366,working_class,58,3,0,0,0.65,35040,True,d1_hh35,partner
d1,a0,d1_129,farmer_agricultural,58,2,0,0,0.75,6808,True,d1_hh36,head
d1,a0,d1_328,working_class,52,3,1,0,0.65,14765,True,d1_hh36,partner
