hh_id,location_urban,location_rural,hh_size1,hh_size2,hh_size3,hh_size4,m_0_to_30,f_0_to_30,m_30_to_60,f_30_to_60,m_gt_60,f_gt_60,edu_non,edu_low,edu_middle,edu_high
d431_hh126,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
d320_hh105,0,1,0,1,0,0,0,0,0,2,0,0,0,1,1,0
d2850_hh92,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0
d3565_hh22,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0
d2199_hh46,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1
d2937_hh247,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
d2316_hh246,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0
d229_hh121,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
d1566_hh257,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
d2071_hh251,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0
d3012_hh84,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d925_hh120,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0
d1586_hh184,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
d1769_hh284,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0
d1294_hh280,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
d1716_hh99,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0
d695_hh214,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
d2538_hh40,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
d2863_hh263,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0
d1584_hh87,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
d1992_hh242,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d1131_hh214,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
d1164_hh257,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
d2806_hh35,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0
d2522_hh291,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
d3369_hh164,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
d2977_hh255,1,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0
d3257_hh102,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
d3679_hh73,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0
d2934_hh161,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0
d420_hh3,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0
d2263_hh248,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
d3300_hh195,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1
d1050_hh12,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
d3460_hh151,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0
d3244_hh3,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d593_hh126,0,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0
d2816_hh214,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0
d1046_hh265,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
d893_hh8,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1
d1039_hh134,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
d3500_hh163,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d3266_hh216,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d3459_hh77,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
d2410_hh30,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
d3291_hh109,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
d2191_hh201,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d1993_hh38,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0
d1241_hh201,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d2710_hh196,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1
d3805_hh29,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d2006_hh168,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0
d144_hh67,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d210_hh225,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
d556_hh20,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0
d3023_hh41,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0
d1769_hh165,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d293_hh250,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0
d1637_hh169,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0
d836_hh85,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d2983_hh45,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
d3191_hh158,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0
d3852_hh162,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
d265_hh32,1,0,0,0,1,0,1,0,1,0,1,0,0,0,3,0
d1282_hh96,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
d2631_hh240,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0
d3789_hh207,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
d786_hh145,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
d2039_hh163,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
d1341_hh226,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
d959_hh237,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d2079_hh259,0,1,0,1,0,0,1,0,0,0,0,1,0,0,2,0
d834_hh211,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
d297_hh114,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0
d2988_hh212,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0
d2193_hh210,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0
d3275_hh269,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0
d455_hh125,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d1640_hh265,1,0,0,0,1,0,2,0,0,1,0,0,0,0,2,1
d1901_hh149,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1
d2967_hh140,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1
d2601_hh156,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d2037_hh201,1,0,0,0,1,0,0,0,1,1,0,1,1,0,2,0
d3715_hh20,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0
d3136_hh280,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0
d2745_hh109,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0
d3062_hh95,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
d1446_hh186,0,1,0,1,0,0,0,0,1,0,0,1,0,0,2,0
d1855_hh59,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d1918_hh263,1,0,0,1,0,0,0,0,2,0,0,0,1,0,1,0
d1815_hh263,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
d1379_hh31,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
d1740_hh118,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d3697_hh197,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0
d150_hh292,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d1669_hh64,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0
d3552_hh156,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0
d963_hh91,1,0,0,0,0,4,2,1,0,0,1,0,0,0,3,1
d865_hh241,1,0,0,0,1,0,0,0,2,1,0,0,0,0,2,1
d3232_hh85,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
d93_hh59,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d2519_hh287,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1
d1301_hh260,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d658_hh72,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0
d1800_hh80,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0
d1857_hh62,1,0,0,0,0,4,2,0,0,2,0,0,0,2,2,0
d1335_hh320,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,0
d2054_hh262,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
d2508_hh123,1,0,0,0,1,0,0,1,1,1,0,0,0,0,2,1
d874_hh286,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
d1750_hh3,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
d230_hh11,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1
d3793_hh17,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d3427_hh169,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
d1088_hh159,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d3406_hh233,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0
d713_hh180,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d431_hh51,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d2400_hh213,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
d3157_hh297,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
d456_hh23,1,0,0,1,0,0,0,0,0,2,0,0,0,1,0,1
d2144_hh143,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
d3470_hh193,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0
d706_hh42,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d1539_hh110,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
d3235_hh299,1,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0
d2967_hh88,1,0,0,0,0,4,1,2,0,0,0,1,1,0,3,0
d854_hh208,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
d1406_hh67,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d43_hh42,1,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0
d2867_hh64,1,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0
d1424_hh197,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d2108_hh85,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0
d2504_hh268,1,0,0,1,0,0,0,1,1,0,0,0,0,0,2,0
d1267_hh239,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
d956_hh215,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
d1151_hh243,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
d1677_hh4,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
d3277_hh290,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
d180_hh122,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,0
d2699_hh149,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0
d1722_hh273,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0
d731_hh155,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
d3760_hh203,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0
d3672_hh206,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0
d1621_hh272,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1
d3315_hh47,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
d1489_hh129,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1
d2633_hh153,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
d2772_hh221,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0
d1436_hh286,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d1866_hh16,1,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0
d86_hh148,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,0
d36_hh173,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
d334_hh74,1,0,0,0,0,4,1,2,0,0,1,0,1,1,1,1
d3480_hh144,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
d420_hh204,0,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0
d1619_hh65,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
d1970_hh120,1,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0
d768_hh165,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0
d1376_hh158,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
d2988_hh195,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
d733_hh109,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
