hh_id,location_urban,location_rural,hh_size1,hh_size2,hh_size3,hh_size4,m_0_to_29,f_0_to_29,m_30_to_59,f_30_to_59,m_gt_60,f_gt_60,edu_non,edu_low,edu_middle,edu_high
d80_hh6,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d41_hh53,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0
d55_hh190,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0
d84_hh161,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d74_hh108,0,1,0,0,0,4,0,0,2,0,0,2,1,2,1,0
d70_hh171,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0
d100_hh65,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d196_hh190,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
d137_hh109,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d144_hh196,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
d158_hh146,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
d74_hh109,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d94_hh253,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0
d116_hh6,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
d135_hh219,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0
d139_hh164,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d83_hh67,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d92_hh91,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
d129_hh94,0,1,0,1,0,0,0,0,0,0,1,1,0,2,0,0
d44_hh127,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0
d200_hh51,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
d142_hh108,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0
d18_hh80,0,1,0,0,1,0,0,1,2,0,0,0,0,1,1,0
d116_hh36,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
d126_hh156,0,1,0,0,1,0,2,0,1,0,0,0,0,1,1,0
d212_hh252,1,0,0,0,1,0,2,0,1,0,0,0,0,1,1,0
d6_hh130,1,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0
d69_hh274,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0
d109_hh209,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
d88_hh3,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0
d100_hh164,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
d169_hh115,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0
d60_hh107,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
d117_hh245,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d21_hh16,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
d190_hh32,0,1,0,0,0,4,1,1,1,1,0,0,1,1,0,0
d214_hh166,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,0
d141_hh152,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0
d43_hh27,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0
d176_hh85,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d66_hh193,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0
d55_hh246,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0
d62_hh167,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0
d204_hh158,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0
d47_hh128,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d136_hh192,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
d187_hh291,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
d50_hh90,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
d93_hh80,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0
d126_hh233,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
d150_hh8,0,1,0,0,1,0,0,0,1,1,0,1,0,1,2,0
d79_hh227,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d186_hh175,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0
d82_hh41,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0
d119_hh50,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d103_hh205,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d110_hh172,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0
d10_hh167,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0
d210_hh87,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d128_hh273,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
d156_hh181,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,0
d118_hh88,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
d179_hh242,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0
d152_hh187,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0
d59_hh162,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0
d108_hh241,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0
d70_hh110,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
d196_hh215,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d76_hh193,1,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0
d7_hh124,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0
d187_hh16,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d107_hh7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
d112_hh176,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0
d138_hh10,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0
d28_hh253,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0
d204_hh173,0,1,0,1,0,0,0,0,0,2,0,0,0,2,0,0
d142_hh269,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
d214_hh184,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
d11_hh244,0,1,0,1,0,0,0,0,0,1,0,1,0,2,0,0
d195_hh97,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d22_hh190,1,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d116_hh118,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d88_hh191,0,1,0,1,0,0,0,0,2,0,0,0,0,2,0,0
d70_hh76,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0
d128_hh43,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
d5_hh117,0,1,0,0,0,4,1,1,1,1,0,0,1,0,1,0
d153_hh26,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
d108_hh230,1,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0
d122_hh181,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
d76_hh187,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0
d154_hh157,0,1,0,1,0,0,0,0,2,0,0,0,1,0,1,0
d112_hh155,0,1,0,1,0,0,0,0,0,2,0,0,1,1,0,0
d179_hh267,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0
d214_hh171,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0
d118_hh262,0,1,0,0,1,0,1,0,0,2,0,0,0,1,1,0
d15_hh97,0,1,0,0,0,4,0,0,1,1,2,0,0,3,1,0
d55_hh229,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0
d118_hh188,0,1,0,1,0,0,0,0,1,0,1,0,0,0,2,0
d160_hh232,0,1,0,1,0,0,0,0,2,0,0,0,0,1,1,0
d214_hh252,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
d149_hh30,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0
d56_hh89,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d78_hh123,0,1,0,0,0,5,1,3,1,0,0,0,0,1,0,0
d212_hh155,1,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0
d212_hh61,1,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0
d203_hh172,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0
d176_hh125,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
d63_hh69,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
d88_hh108,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0
d110_hh236,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d77_hh40,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
d70_hh136,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
d179_hh41,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
d42_hh165,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0
d87_hh38,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0
d102_hh228,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
