area,admin_area,id,demographic_id,age,education,gender,ethnicity,family_ratio,income,in_household,household_id,relationship
d80,a0,d80_38,farmer_agricultural,54,2,1,0,0.75,39069,True,d80_hh6,head
d80,a0,d80_381,middle_class,41,5,0,0,0.7,36766,True,d80_hh6,partner
d41,a1,d41_270,working_class,39,1,1,0,0.65,26031,True,d41_hh53,head
d41,a1,d41_18,retired,73,2,0,0,0.3,24946,True,d41_hh53,partner
d55,a3,d55_14,working_class,54,2,0,0,0.65,17847,True,d55_hh190,head
d55,a3,d55_22,rural_worker,54,0,1,0,0.7,27250,True,d55_hh190,partner
d84,a1,d84_66,rural_worker,35,1,1,0,0.7,16259,True,d84_hh161,head
d74,a0,d74_56,farmer_agricultural,54,2,0,0,0.75,19347,True,d74_hh108,head
d74,a0,d74_172,affluent_professional,45,3,0,0,0.6,45694,True,d74_hh108,partner
d74,a0,d74_438,retired,82,2,1,0,0.3,11805,True,d74_hh108,partner
d74,a0,d74_298,retired,73,0,1,0,0.3,18384,True,d74_hh108,partner
d70,a0,d70_428,middle_class,42,6,0,0,0.7,44203,True,d70_hh171,head
d70,a0,d70_231,young_professional,28,6,1,0,0.2,19614,True,d70_hh171,partner
d70,a0,d70_428c0,na,4,na,0,0,0,0,True,d70_hh171,child
d100,a3,d100_493,rural_worker,39,1,1,0,0.7,20727,True,d100_hh65,head
d196,a1,d196_381,rural_worker,39,0,0,0,0.7,14828,True,d196_hh190,head
d196,a1,d196_265,retired,61,2,0,0,0.3,28198,True,d196_hh190,partner
d137,a1,d137_275,rural_worker,45,1,1,0,0.7,9020,True,d137_hh109,head
d144,a1,d144_259,rural_worker,46,2,0,0,0.7,15018,True,d144_hh196,head
d144,a1,d144_446,middle_class,53,2,0,0,0.7,18589,True,d144_hh196,partner
d158,a4,d158_195,rural_worker,41,1,1,0,0.7,23067,True,d158_hh146,head
d158,a4,d158_66,retired,73,4,0,2,0.3,23512,True,d158_hh146,partner
d74,a0,d74_421,farmer_agricultural,46,2,0,0,0.75,22179,True,d74_hh109,head
d94,a1,d94_219,affluent_professional,32,5,0,0,0.6,96909,True,d94_hh253,head
d94,a1,d94_456,young_professional,27,4,0,0,0.2,28367,True,d94_hh253,partner
d116,a3,d116_149,retired,69,1,0,0,0.3,18927,True,d116_hh6,head
d135,a4,d135_427,farmer_agricultural,49,1,1,0,0.75,24658,True,d135_hh219,head
d135,a4,d135_405,farmer_agricultural,48,1,1,0,0.75,23103,True,d135_hh219,partner
d139,a0,d139_476,rural_worker,55,1,1,0,0.7,23289,True,d139_hh164,head
d83,a0,d83_99,working_class,48,2,0,0,0.65,19233,True,d83_hh67,head
d92,a1,d92_95,working_class,57,4,0,0,0.65,17509,True,d92_hh91,head
d92,a1,d92_204,middle_class,48,4,0,0,0.7,15360,True,d92_hh91,partner
