area_id,microdata_id
d1,d147_hh54
d1,d208_hh168
d1,d23_hh93
d1,d30_hh58
d1,d104_hh58
d1,d199_hh49
d1,d187_hh42
d1,d187_hh0
d1,d57_hh207
d1,d117_hh74
d1,d214_hh41
d1,d134_hh270
d1,d134_hh223
d1,d98_hh223
d1,d46_hh194
d1,d202_hh264
d1,d208_hh168
d1,d122_hh231
d1,d213_hh252
d1,d7_hh257
d1,d57_hh16
d1,d100_hh91
d1,d59_hh243
d1,d40_hh152
d1,d193_hh248
d1,d179_hh1
d1,d56_hh262
d1,d191_hh53
d1,d96_hh145
d1,d5_hh5
d1,d16_hh287
d1,d182_hh149
d1,d18_hh137
d1,d187_hh0
d1,d123_hh104
d1,d104_hh58
d1,d177_hh163
d1,d187_hh42
d1,d161_hh185
d1,d97_hh156
d1,d69_hh240
d1,d85_hh110
d1,d143_hh241
d1,d65_hh29
d1,d51_hh151
d1,d30_hh130
d1,d204_hh87
d1,d98_hh177
d1,d50_hh217
d1,d186_hh185
d1,d4_hh65
d1,d38_hh165
d1,d141_hh27
d1,d187_hh0
d1,d209_hh254
d1,d29_hh243
d1,d57_hh250
d1,d177_hh163
d1,d30_hh267
d1,d165_hh107
d1,d182_hh226
d1,d111_hh227
d1,d31_hh34
d1,d163_hh213
d1,d51_hh151
d1,d158_hh107
d1,d178_hh58
d1,d131_hh24
d1,d36_hh226
d1,d134_hh270
d1,d87_hh156
d1,d129_hh122
d1,d15_hh186
d1,d117_hh11
d1,d204_hh87
d1,d199_hh49
d1,d202_hh90
d1,d191_hh53
d1,d143_hh241
d1,d155_hh151
d1,d129_hh122
d1,d54_hh61
d1,d13_hh58
d1,d119_hh222
d1,d57_hh166
d1,d82_hh154
d1,d162_hh47
d1,d91_hh90
d1,d66_hh207
d1,d12_hh23
d1,d111_hh227
d1,d182_hh39
d1,d23_hh21
d1,d137_hh106
d1,d213_hh211
d1,d187_hh7
d1,d21_hh90
d1,d34_hh77
d1,d166_hh164
d1,d140_hh85
d1,d88_hh195
d1,d100_hh48
d1,d77_hh123
d1,d208_hh168
d1,d135_hh17
d1,d50_hh249
d1,d104_hh116
d1,d135_hh17
d1,d152_hh88
d1,d129_hh122
d1,d113_hh175
d1,d158_hh136
d1,d184_hh158
d1,d69_hh240
d1,d52_hh115
d1,d133_hh135
d1,d129_hh122
d1,d143_hh241
d1,d42_hh202
d1,d73_hh184
d1,d15_hh264
d1,d125_hh3
d1,d54_hh218
d1,d50_hh217
d1,d50_hh7
d1,d67_hh15
d1,d7_hh257
d1,d184_hh238
d1,d54_hh218
d1,d75_hh53
d1,d214_hh13
d1,d42_hh19
d1,d213_hh2
d1,d213_hh62
d1,d41_hh71
d1,d122_hh159
d1,d74_hh107
d1,d42_hh202
d1,d127_hh89
d1,d164_hh123
d1,d173_hh163
d1,d54_hh44
d1,d127_hh89
d1,d19_hh130
d1,d98_hh100
d1,d62_hh22
d1,d213_hh62
d1,d195_hh109
d1,d95_hh201
d1,d2_hh180
d1,d202_hh205
d1,d51_hh231
d1,d123_hh160
d1,d31_hh139
d1,d91_hh199
d1,d17_hh106
d1,d54_hh57
d1,d200_hh261
d1,d80_hh186
d1,d178_hh191
d1,d42_hh88
d1,d80_hh186
d1,d20_hh166
d1,d169_hh199
d1,d191_hh53
d1,d42_hh19
d1,d73_hh184
d1,d98_hh177
d1,d171_hh88
d1,d182_hh39
d1,d101_hh129
d1,d16_hh294
d1,d48_hh118
d1,d17_hh106
d1,d213_hh211
d1,d97_hh156
d1,d202_hh90
d1,d109_hh67
d1,d170_hh117
d1,d214_hh70
d1,d191_hh246
d1,d66_hh240
d1,d122_hh159
d1,d161_hh203
d1,d131_hh24
d1,d57_hh250
d1,d50_hh7
d1,d74_hh107
d1,d66_hh207
d1,d191_hh53
d1,d149_hh107
d1,d67_hh15
d1,d77_hh123
d1,d44_hh38
d1,d202_hh205
d1,d208_hh253
d1,d98_hh100
d1,d100_hh48
d1,d52_hh33
d1,d187_hh87
d1,d169_hh225
d1,d122_hh144
d1,d123_hh119
d1,d161_hh203
d1,d30_hh130
d1,d24_hh176
d1,d171_hh23
d1,d67_hh15
d1,d199_hh49
d1,d118_hh244
d1,d129_hh122
d1,d169_hh225
d1,d90_hh233
d1,d15_hh103
d1,d209_hh254
d1,d59_hh243
d1,d110_hh252
d1,d87_hh245
d1,d24_hh176
d1,d29_hh131
d1,d125_hh3
d1,d191_hh53
d1,d120_hh248
d1,d15_hh264
d1,d59_hh112
d1,d149_hh1
d1,d213_hh2
d1,d123_hh106
d1,d96_hh145
d1,d4_hh29
d1,d83_hh193
d1,d177_hh145
d1,d93_hh18
d1,d214_hh13
d1,d93_hh18
d1,d54_hh218
d1,d46_hh53
d1,d163_hh145
d1,d169_hh199
d1,d19_hh38
d1,d38_hh165
d1,d207_hh191
d1,d15_hh103
d1,d57_hh286
d1,d191_hh53
d1,d102_hh201
d1,d23_hh93
d1,d114_hh66
d1,d169_hh216
d1,d173_hh163
d1,d130_hh142
d1,d174_hh42
d1,d83_hh193
d1,d178_hh157
d1,d82_hh154
d1,d72_hh42
d1,d95_hh164
d1,d67_hh15
d1,d191_hh246
d1,d200_hh21
d1,d16_hh287
d1,d126_hh207
d1,d42_hh202
d1,d54_hh57
d1,d209_hh11
d1,d34_hh77
d1,d75_hh264
d1,d161_hh203
d1,d209_hh254
d1,d18_hh227
d1,d57_hh286
d1,d174_hh213
d1,d198_hh188
d10,d60_hh165
d10,d64_hh165
d10,d188_hh223
d10,d151_hh194
d10,d107_hh211
d10,d22_hh225
d10,d151_hh146
d10,d94_hh137
d10,d49_hh245
d10,d151_hh207
d10,d148_hh189
d10,d107_hh6
d10,d107_hh6
d10,d60_hh172
d10,d70_hh135
d10,d103_hh115
d10,d180_hh130
d10,d22_hh225
d10,d6_hh77
d10,d27_hh145
d10,d22_hh219
d10,d84_hh15
d10,d49_hh198
d10,d151_hh93
d10,d103_hh115
d10,d121_hh146
d10,d27_hh145
d10,d144_hh235
d10,d189_hh80
d10,d89_hh65
d10,d196_hh42
d10,d79_hh93
d10,d203_hh30
d10,d10_hh110
d10,d185_hh17
d10,d27_hh65
d10,d196_hh42
d10,d60_hh172
d10,d108_hh127
d10,d185_hh17
d10,d45_hh183
d10,d10_hh46
d10,d60_hh172
d10,d60_hh165
d10,d3_hh98
d10,d107_hh143
d10,d181_hh59
d10,d148_hh221
d10,d86_hh136
d10,d27_hh145
d10,d121_hh238
d10,d60_hh259
d10,d60_hh165
d10,d79_hh93
d10,d71_hh292
d10,d49_hh155
d10,d185_hh70
d10,d79_hh76
d10,d185_hh17
d10,d45_hh282
d10,d144_hh285
d10,d108_hh277
d10,d203_hh11
d10,d180_hh34
d10,d86_hh136
d10,d206_hh188
d10,d148_hh97
d10,d64_hh165
d10,d196_hh60
d10,d172_hh1
d10,d10_hh46
d10,d45_hh9
d10,d196_hh34
d10,d196_hh34
d10,d167_hh120
d10,d22_hh219
d10,d86_hh114
d10,d27_hh133
d10,d151_hh146
d10,d3_hh279
d10,d148_hh98
d10,d71_hh292
d10,d148_hh189
d10,d89_hh65
d10,d196_hh42
d10,d148_hh98
d10,d10_hh46
d10,d79_hh76
d10,d206_hh151
d10,d115_hh196
d10,d49_hh198
d10,d63_hh98
d10,d71_hh152
d10,d86_hh136
d10,d79_hh182
d10,d60_hh165
d10,d70_hh243
d10,d45_hh183
d10,d8_hh179
d10,d89_hh65
d10,d71_hh152
d10,d148_hh82
d10,d71_hh292
d10,d148_hh98
d10,d71_hh292
d10,d10_hh60
d10,d71_hh152
d10,d45_hh9
d10,d185_hh17
d10,d148_hh82
d10,d105_hh48
d10,d49_hh155
d10,d71_hh292
d10,d103_hh115
d10,d63_hh98
d10,d64_hh165
d10,d79_hh182
d10,d105_hh48
d10,d64_hh165
d10,d206_hh74
