geography_code,variable,synth_fraction,constraint_fraction
d1,location_urban,0,0
d1,location_rural,1,1
d1,hh_size1,0.23278688524590163,0.23278688524590163
d1,hh_size2,0.5672131147540984,0.5672131147540984
d1,hh_size3,0.022950819672131147,0.022950819672131147
d1,hh_size4,0.17704918032786884,0.17704918032786884
d1,m_0_to_30,0.026422764227642278,0.026422764227642278
d1,f_0_to_30,0.022357723577235773,0.022357723577235773
d1,m_30_to_60,0.3313008130081301,0.32926829268292684
d1,f_30_to_60,0.3434959349593496,0.34552845528455284
d1,m_gt_60,0.1483739837398374,0.1483739837398374
d1,f_gt_60,0.12804878048780488,0.12804878048780488
d1,edu_non,0.10772357723577236,0.10772357723577236
d1,edu_low,0.5691056910569106,0.5711382113821138
d1,edu_middle,0.3048780487804878,0.30284552845528456
d1,edu_high,0.018292682926829267,0.018292682926829267
d25,location_urban,1,1
d25,location_rural,0,0
d25,hh_size1,0.26912181303116145,0.2711864406779661
d25,hh_size2,0.48158640226628896,0.480225988700565
d25,hh_size3,0.036827195467422094,0.03672316384180791
d25,hh_size4,0.21246458923512748,0.211864406779661
d25,m_0_to_30,0.11657559198542805,0.11636363636363636
d25,f_0_to_30,0.13479052823315119,0.13454545454545455
d25,m_30_to_60,0.3460837887067395,0.34545454545454546
d25,f_30_to_60,0.3151183970856102,0.31636363636363635
d25,m_gt_60,0.030965391621129327,0.03090909090909091
d25,f_gt_60,0.056466302367941715,0.056363636363636366
d25,edu_non,0.061930783242258654,0.06181818181818182
d25,edu_low,0.20947176684881602,0.20909090909090908
d25,edu_middle,0.6211293260473588,0.6218181818181818
d25,edu_high,0.10746812386156648,0.10727272727272727
d7,location_urban,1,1
d7,location_rural,0,0
d7,hh_size1,0.4523076923076923,0.450920245398773
d7,hh_size2,0.49538461538461537,0.4938650306748466
d7,hh_size3,0,0
d7,hh_size4,0.052307692307692305,0.05521472392638037
d7,m_0_to_30,0.06172839506172839,0.061601642710472276
d7,f_0_to_30,0.05761316872427984,0.057494866529774126
d7,m_30_to_60,0.3374485596707819,0.33880903490759756
d7,f_30_to_60,0.31893004115226337,0.3182751540041068
d7,m_gt_60,0.10905349794238683,0.10882956878850103
d7,f_gt_60,0.11522633744855967,0.11498973305954825
d7,edu_non,0.12345679012345678,0.12525667351129363
d7,edu_low,0.38065843621399176,0.38809034907597534
d7,edu_middle,0.45267489711934156,0.44353182751540043
d7,edu_high,0.043209876543209874,0.043121149897330596
d10,location_urban,1,1
d10,location_rural,0,0
d10,hh_size1,0.30659025787965616,0.30659025787965616
d10,hh_size2,0.498567335243553,0.498567335243553
d10,hh_size3,0.02865329512893983,0.02865329512893983
d10,hh_size4,0.166189111747851,0.166189111747851
d10,m_0_to_30,0.1270718232044199,0.1270718232044199
d10,f_0_to_30,0.15285451197053407,0.15285451197053407
d10,m_30_to_60,0.3425414364640884,0.3425414364640884
d10,f_30_to_60,0.285451197053407,0.285451197053407
d10,m_gt_60,0.049723756906077346,0.049723756906077346
d10,f_gt_60,0.0423572744014733,0.0423572744014733
d10,edu_non,0.0570902394106814,0.0570902394106814
d10,edu_low,0.23572744014732966,0.23572744014732966
