area_id,microdata_id
d3,d28_hh40
d3,d136_hh89
d3,d49_hh103
d3,d6_hh77
d3,d212_hh61
d3,d3_hh35
d3,d8_hh41
d3,d70_hh110
d3,d196_hh197
d3,d37_hh160
d3,d25_hh80
d3,d27_hh269
d3,d185_hh57
d3,d107_hh193
d3,d176_hh125
d3,d167_hh264
d3,d116_hh36
d3,d192_hh39
d3,d92_hh115
d3,d45_hh79
d3,d107_hh258
d3,d22_hh190
d3,d9_hh197
d3,d22_hh176
d3,d176_hh85
d3,d14_hh67
d3,d76_hh6
d3,d47_hh135
d3,d92_hh91
d3,d136_hh89
d3,d25_hh80
d3,d172_hh180
d3,d196_hh197
d3,d116_hh36
d3,d47_hh135
d3,d145_hh175
d3,d37_hh159
d3,d107_hh193
d3,d47_hh128
d3,d103_hh192
d3,d70_hh136
d3,d145_hh175
d3,d92_hh91
d3,d153_hh96
d3,d49_hh170
d3,d22_hh190
d3,d107_hh246
d3,d167_hh264
d3,d157_hh215
d3,d9_hh170
d3,d172_hh180
d3,d107_hh246
d3,d203_hh139
d3,d115_hh176
d3,d28_hh253
d3,d185_hh57
d3,d157_hh215
d3,d157_hh16
d3,d70_hh76
d3,d8_hh41
d3,d9_hh170
d3,d79_hh255
d3,d76_hh187
d3,d192_hh68
d3,d176_hh85
d3,d9_hh236
d3,d107_hh258
d3,d116_hh6
d3,d63_hh83
d3,d180_hh254
d3,d157_hh16
d3,d45_hh79
d3,d28_hh253
d3,d49_hh170
d3,d196_hh229
d3,d136_hh32
d3,d70_hh136
d3,d9_hh236
d3,d115_hh176
d3,d47_hh128
d3,d107_hh23
d3,d9_hh289
d3,d116_hh118
d3,d196_hh229
d3,d8_hh105
d3,d189_hh268
d3,d9_hh289
d3,d79_hh227
d3,d3_hh35
d3,d8_hh105
d3,d9_hh289
d3,d115_hh186
d3,d8_hh105
d3,d194_hh101
d3,d196_hh190
d3,d151_hh215
d3,d153_hh96
d3,d201_hh119
d3,d180_hh254
d3,d3_hh180
d3,d70_hh136
d3,d115_hh186
d3,d71_hh146
d3,d60_hh108
d3,d8_hh41
d3,d107_hh193
d3,d60_hh107
d3,d63_hh83
d3,d180_hh254
d3,d60_hh108
d3,d25_hh157
d3,d3_hh35
d3,d148_hh58
d3,d37_hh159
d3,d71_hh146
d3,d151_hh215
d3,d60_hh108
d3,d157_hh16
d3,d9_hh197
d3,d181_hh17
d3,d71_hh146
d3,d144_hh196
d3,d153_hh96
d3,d181_hh225
d3,d79_hh227
d3,d76_hh6
d3,d206_hh279
d3,d167_hh11
d3,d206_hh279
d3,d22_hh190
d3,d180_hh254
d3,d9_hh236
d3,d37_hh160
d3,d49_hh103
d3,d45_hh79
d3,d103_hh63
d3,d84_hh161
d3,d22_hh190
d3,d70_hh110
d3,d107_hh246
d3,d192_hh68
d3,d115_hh199
d3,d47_hh135
d3,d144_hh253
d3,d25_hh157
d3,d47_hh135
d3,d144_hh253
d3,d76_hh193
d3,d167_hh264
d3,d194_hh40
d3,d45_hh0
d3,d148_hh117
d3,d107_hh193
d3,d71_hh163
d3,d153_hh96
d3,d196_hh139
d3,d176_hh85
d3,d49_hh103
d3,d107_hh246
d3,d92_hh161
d3,d108_hh241
d3,d153_hh26
d3,d167_hh276
d3,d176_hh85
d3,d103_hh192
d3,d196_hh139
d3,d211_hh86
d3,d71_hh245
d3,d142_hh269
d3,d121_hh170
d3,d86_hh55
d3,d94_hh253
d3,d79_hh198
d3,d108_hh213
d3,d27_hh269
d3,d151_hh215
d3,d107_hh23
d3,d192_hh68
d3,d153_hh26
d3,d79_hh198
d3,d116_hh6
d3,d176_hh92
d3,d176_hh85
d3,d167_hh11
d3,d92_hh115
d3,d176_hh125
d3,d151_hh215
d3,d63_hh160
d3,d8_hh155
d3,d196_hh215
d3,d6_hh130
d3,d153_hh100
d3,d144_hh289
d3,d115_hh199
d3,d201_hh119
d3,d92_hh115
d3,d37_hh160
d3,d45_hh79
d3,d92_hh115
d3,d145_hh175
d3,d196_hh126
d3,d188_hh256
d3,d79_hh255
d3,d103_hh205
d3,d203_hh227
d3,d37_hh160
d3,d212_hh155
d3,d196_hh215
d3,d79_hh227
d3,d157_hh222
d3,d157_hh215
d3,d107_hh23
d3,d167_hh264
d3,d201_hh135
d3,d201_hh119
d3,d176_hh220
d3,d94_hh246
d3,d79_hh198
d3,d94_hh137
d3,d188_hh256
d3,d60_hh108
d3,d172_hh18
d3,d22_hh176
d3,d196_hh190
d3,d47_hh300
d3,d103_hh48
d3,d107_hh258
d3,d45_hh79
d3,d8_hh149
d3,d28_hh40
d3,d194_hh40
d3,d70_hh136
d3,d181_hh225
d3,d145_hh175
d3,d157_hh215
d3,d148_hh104
d3,d108_hh212
d3,d25_hh80
d3,d9_hh183
d3,d176_hh194
d3,d107_hh103
d3,d176_hh85
d3,d71_hh163
d3,d92_hh115
d3,d103_hh63
d3,d84_hh161
d3,d211_hh86
d3,d70_hh171
d3,d49_hh103
d3,d76_hh187
d3,d3_hh97
d3,d142_hh106
d3,d157_hh222
d3,d115_hh186
d3,d121_hh272
d3,d144_hh253
d3,d148_hh117
d3,d103_hh192
d3,d8_hh155
d3,d107_hh23
d3,d14_hh205
d3,d136_hh32
d3,d3_hh97
d3,d185_hh57
d3,d116_hh196
d3,d14_hh75
d3,d196_hh197
d3,d153_hh100
d3,d206_hh279
d3,d103_hh192
d3,d63_hh69
d3,d157_hh222
d3,d9_hh170
d3,d157_hh215
d3,d206_hh279
d3,d116_hh6
d3,d176_hh85
d3,d94_hh137
d3,d64_hh137
d3,d176_hh220
d3,d144_hh253
d3,d9_hh170
d3,d136_hh32
d3,d92_hh115
d3,d70_hh136
d3,d196_hh197
d3,d144_hh253
d3,d108_hh230
d3,d144_hh196
d3,d47_hh135
d3,d116_hh36
d3,d157_hh235
d3,d84_hh161
d3,d70_hh171
d3,d196_hh215
d3,d181_hh225
d3,d115_hh199
d1,d19_hh147
d1,d141_hh235
d1,d21_hh25
d1,d42_hh263
d1,d152_hh175
d1,d191_hh30
d1,d88_hh3
d1,d122_hh181
d1,d114_hh2
d1,d155_hh206
d1,d82_hh256
d1,d150_hh168
d1,d190_hh176
d1,d11_hh214
d1,d213_hh238
d1,d175_hh181
d1,d4_hh212
d1,d18_hh80
d1,d91_hh100
d1,d190_hh106
d1,d119_hh174
d1,d162_hh113
d1,d215_hh82
d1,d99_hh230
d1,d59_hh132
d1,d122_hh181
d1,d208_hh221
d1,d51_hh285
d1,d126_hh184
d1,d44_hh187
d1,d114_hh2
d1,d118_hh88
d1,d190_hh173
d1,d122_hh181
d1,d179_hh267
d1,d141_hh194
d1,d42_hh165
d1,d66_hh154
d1,d99_hh38
d1,d110_hh117
d1,d110_hh201
d1,d18_hh6
d1,d88_hh235
d1,d32_hh203
d1,d163_hh115
d1,d31_hh135
d1,d55_hh246
d1,d202_hh111
d1,d128_hh180
d1,d114_hh12
d1,d106_hh24
d1,d7_hh155
d1,d19_hh147
d1,d184_hh210
d1,d129_hh106
d1,d95_hh241
d1,d88_hh108
d1,d162_hh67
d1,d58_hh81
d1,d66_hh131
d1,d156_hh151
d1,d7_hh124
d1,d129_hh106
d1,d210_hh267
d1,d72_hh77
d1,d73_hh197
d1,d122_hh181
d1,d163_hh242
d1,d210_hh267
d1,d38_hh101
d1,d131_hh14
d1,d123_hh83
d1,d149_hh61
d1,d104_hh7
d1,d11_hh240
d1,d72_hh77
d1,d11_hh244
d1,d160_hh97
d1,d191_hh30
d1,d129_hh209
d1,d99_hh230
d1,d69_hh55
d1,d124_hh223
d1,d183_hh237
d1,d69_hh55
d1,d214_hh252
d1,d175_hh181
d1,d124_hh167
d1,d179_hh28
d1,d66_hh179
d1,d163_hh242
d1,d208_hh221
d1,d208_hh137
d1,d128_hh273
d1,d24_hh177
d1,d184_hh11
d1,d137_hh216
d1,d191_hh275
d1,d91_hh100
d1,d30_hh132
d1,d132_hh233
d1,d58_hh81
d1,d137_hh201
d1,d141_hh209
d1,d129_hh106
d1,d42_hh38
d1,d118_hh188
d1,d43_hh27
d1,d112_hh221
d1,d32_hh101
d1,d122_hh112
d1,d183_hh93
d1,d128_hh180
d1,d170_hh273
d1,d134_hh7
d1,d39_hh96
d1,d114_hh12
d1,d204_hh158
d1,d160_hh179
d1,d122_hh181
d1,d44_hh163
d1,d48_hh176
d1,d24_hh177
d1,d193_hh61
d1,d114_hh2
d1,d118_hh262
d1,d129_hh94
d1,d66_hh193
d1,d155_hh206
d1,d147_hh167
d1,d214_hh252
d1,d131_hh212
d1,d165_hh274
d1,d134_hh156
d1,d82_hh115
d1,d163_hh115
d1,d34_hh166
d1,d123_hh83
d1,d126_hh156
d1,d33_hh266
d1,d137_hh216
d1,d135_hh78
d1,d135_hh191
d1,d13_hh239
d1,d205_hh73
d1,d7_hh148
d1,d56_hh89
d1,d202_hh111
d1,d130_hh277
d1,d205_hh217
d1,d50_hh195
d1,d130_hh277
d1,d88_hh235
d1,d161_hh110
d1,d38_hh49
d1,d149_hh61
d1,d141_hh235
d1,d90_hh214
d1,d138_hh1
d1,d128_hh184
d1,d128_hh180
d1,d118_hh188
d1,d51_hh186
d1,d143_hh224
d1,d58_hh108
d1,d16_hh218
d1,d91_hh100
d1,d66_hh13
d1,d15_hh188
d1,d131_hh41
d1,d112_hh221
d1,d169_hh247
d1,d175_hh32
d1,d81_hh87
d1,d99_hh38
d1,d120_hh45
d1,d124_hh167
d1,d131_hh41
d1,d141_hh235
d1,d149_hh237
d1,d74_hh11
d1,d184_hh11
d1,d149_hh237
d1,d13_hh239
d1,d210_hh267
d1,d147_hh167
d1,d15_hh188
d1,d73_hh197
d1,d77_hh156
d1,d32_hh101
d1,d150_hh253
d1,d143_hh224
d1,d102_hh228
d1,d191_hh12
d1,d56_hh175
d1,d208_hh2
d1,d41_hh72
d1,d126_hh233
d1,d130_hh277
d1,d130_hh273
d1,d31_hh135
d1,d11_hh240
d1,d42_hh263
d1,d1_hh15
